step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,you-wont-get,0.5,0.5,1,,Stigma and negative Connotation,"intro : In the beginning, the AIDS epidemic was sometimes labeled as an AIDS-like disease. This stigma led to misinformation,  causing widespread panic. This fear shaped how people reacted to HIv positive indivudals. 
",,Learn more,main-story-24wx-daily-nexus-feb.md,Go deeper,main-story-24wx-assembly-attendance.md,,,
2,,,,,,"Daily Nexus (Feb. 10,1993) ","News broke of a surgical technician who was cut by a scapel during a breast implant surgery on a patient who did not disclose she had AIDS. A lawsuit transpired, and the Surgical Technician was awarded $102,500 (current day aprox. $236,225). The surgical technician tested negative for aids after careful monitoring,g and the court found the defendant guilty, ty stating that the ""Patient must pay damages for concealing the AIDS virus"".  ",,Learn more,main-story-24wx-daily-nexus-nov.md,,,,,
3,aids-prevention-team,0.5043320948611678,0.7219195217634713,2.0100000000000002,,The uprise of AID/HIV in Women and their treatment,"During the AIDS epidemic, women were often overlooked. During this time, HIV/AIDS research and treatment focused mainly on men. Activists at the time accused the FDA of being silent on women's needs. ",,Learn more,main-story-24wx-learn-more.md,Go deeper,main-story-24wx-go-deeper.md,,,
4,you-wont-get,0.5,0.5,1,,Awareness and Activism,"Communities became the center of survival for many areas. Communities organized awareness events and safer sex campaigns. UCSB was a part of this and participated by hosting multiple HIV/AIDS awareness weeks and campaigns. The activist fought misinformation through education. ",,Learn more,main-story-24wx-step4-layer1.md,,,,,
5,thenormalheartcabareten,0.526741505636151,0.31236993077813413,1.7279999999999998,,,"Another need for survival was support. During such a hard time, it is crucial to have a support system to help you get through it and keep spirits up. We see this firsthand from letters by organizers and attendees that reveal the emotional impact and community connection these events provided. A letter from a man named Micahel, who was diagnosed with aids, writes to an event organizer thanking him and sharing the news that he is no longer PWA. ",,,,,,,,
6,hivaids-drugs-timeline-1,0.46445576019190477,0.32808561674736453,4.700854700854702,,drugs timelie,"During the early 90s, AIDS drugs had severe side effects. The medicines did help, but they also affected patients in a way that made it difficult to continue normal activities in their daily lives. Dr. Anthony Fauci hoped for newer drugs that would replace Retorivir and DDI; however, he still believed that effective treatment was still far away. ",,Learn more,main-story-24wx-step6-layer1.md,,,,,
7,hivaids-drugs-timeline-1,0.536668561062841,0.5079516579109999,4.700854700854702,,,"The AIDS epidemic was a national crisis. AIDS became the second leading cause of death among men aged 25 to 44. Over 192,000 Americans were living with AIDS (that was documented). Fear surrounding this gianosis remained extremely high. ",,Learn more,main-story-24wx-step7-layer1.md,,,,,
8,hivaids-drugs-timeline-1,0.5549892572265039,0.8828780294636773,4.700854700854702,,,"Today we have different [[art_antiretroviral_therapy]] available that lets patients go from [[Transmittable]] to untransmittable. This, however, does not mean that it is a cure. It simply means that the virus is at such low levels that it can not be passed to another person. This medicine can be taken either through injections or oral pills. ",,,,,,,,
