term_id,title,definition
telar,"ART (Antiretroviral Therapy) ","[Antiretroviral therapy (ART)](https://my.clevelandclinic.org/health/treatments/antiretroviral-therapy) is a combination of medications that treat HIV. While ART does not cure HIV, it reduces the levels of HIV in your body. This allows your immune system to remain healthy and lowers the risk of serious infections. "
untitled-term,"Transmittable ","In terms of HIV, transmittable referes to causing or allowing the spread of the infection. If someone is transmittable it means that person can infect others. 
[https://www.merriam-webster.com/dictionary/transmittable](https://www.merriam-webster.com/dictionary/transmittable)"
